prefix-3=Kar	14117
prefix-3=Kap	14116
prefix-3=Kaw	14119
prefix-3=Kat	14118
next_word=diversification	6330
word=County	33983
prev_word=relies	26489
word=alcoholism	36753
prev_word=relief	26488
prev_word=relied	26487
prefix-3=Kan	14115
prefix-3=Kam	14114
prefix-3=Kal	14113
word=Series	35941
word=4,645	32918
word=credit-rating	38156
prev_word=drafted	22970
prev_word=branches	21676
next_word=telling	11150
next_word=participation	9035
next_word=horoscopes	7536
prev_word=family-planning	23464
word=brushed	37413
word=compound	37892
next_word=*T*-24	363
next_word=*T*-25	374
next_word=*T*-26	385
next_word=*T*-27	387
next_word=*T*-20	320
next_word=*T*-21	330
next_word=*T*-22	341
next_word=*T*-23	352
prev_word=63.79	17422
next_word=*T*-28	388
next_word=*T*-29	389
word=high-rate	39737
prev_word=pegged	25671
word=style	43180
word=drop-off	38685
next_word=replacement	9953
next_word=Steel	3872
prev_word=Centerbank	18109
next_word=framework	7143
word=did	38457
next_word=distributor	6323
word=Supportive	36121
next_word=Squier	3857
prev_word=Tourism	20567
prev_word=regulate	26458
next_word=Lobo	2954
word=seven-million-ton	42657
next_word=economic	6479
next_word=cast	5290
prev_word=Machines	19372
word=fourth-quarter	39398
word=re-thought	41984
next_word=case	5283
next_word=Explorer	2334
word=ultimately	43721
next_word=cash	5285
prev_word=hunker	24148
prev_word=62%-owned	17414
next_word=geometrical	7246
word=scams	42496
next_word=insurer	7811
word=Precious	35633
prev_word=Invariably	19082
next_word=Phi	3452
word=fabricate	39106
next_word=insured	7810
word=Najarian	35302
word=Altogether	33388
next_word=exchange	6739
prev_word=ships	27024
word=Administration	33338
word=enhances	38865
next_word=watched	11765
prev_word=portray	25867
word=brokers	37409
word=correcting	38084
next_word=watches	11767
word=enhanced	38864
suffix-3=to	31622
prev_word=swelling	27637
prefix-3=753	13358
prefix-3=750	13357
next_word=vacation	11620
prev_word=actor	20941
prev_word=Yeargin	20820
prev_word=task	27694
prev_word=prints	26013
prev_word=credit	22471
prev_word=slippery	27153
word=recorded	42063
word=pharmaceutical	41414
prefix-3=75-	13356
prefix-2=D'	12287
prev_word=family	23463
word=growing	39596
prev_word=cash-flow	21865
word=centers	37588
next_word=13.50	633
word=Nomura	35369
prev_word=Signet	20295
next_word=photos	9166
word=anybody	36857
next_word=declining	6039
word=semesters	42608
next_word=Coast	1991
next_word=sales	10210
prev_word=arising	21246
word=Contra	33952
word=Charter	33817
next_word=accident	4306
prev_word=obvious	25386
next_word=rivals	10135
prev_word=undesirable	28082
next_word=Karl	2834
next_word=madly	8276
next_word=286	967
prev_word=five	23603
next_word=unions	11527
next_word=282	966
next_word=exceedingly	6728
next_word=280	965
prev_word=Week	20747
word=brand	37361
prev_word=computers	22221
word=500,000	33019
prev_word=surprising	27603
next_word=Ailes	1520
word=500,004	33020
next_word=charges	5367
word=odd-year	41082
suffix-2=O.	28921
next_word=charged	5366
word=walking	43998
word=cutbacks	38227
prev_word=unions	28105
